,Team,Points
1,Manchester City,39.673
2,Tottenham Hotspur,38.224
3,Arsenal,37.467000000000006
4,Everton,37.043
5,Chelsea,34.818
6,West Ham United,32.195
7,Wigan Athletic,31.847000000000005
8,Manchester United,29.566000000000003
9,West Bromwich Albion,29.007000000000005
10,Swansea City,28.717999999999996
11,Stoke City,27.720999999999997
12,Norwich City,26.871999999999996
13,Fulham,25.039
14,Reading,25.018000000000004
15,Aston Villa,24.144000000000002
16,Liverpool,24.092999999999996
17,Sunderland,21.357999999999997
18,Queens Park Rangers,12.422
19,Newcastle United,11.283
20,Southampton,5.255000000000001
